game_key,game_no,date,stage,team_org,team,opponent_org,opponent,venue_side,points,opp_points,result,fgm,fga,fg_pct,two_m,two_a,two_pct,three_m,three_a,three_pct,three_pts_per_att,ftm,fta,ft_pct,orb,drb,reb,assists,turnovers,steals,blocks,fouls,poss_est,overall_ortg_est,fastbreak_points,fastbreak_points_official,fastbreak_poss_est,fastbreak_ortg_est,halfcourt_points_est,halfcourt_poss_est,halfcourt_ortg_est,fastbreak_point_share,data_issue
M.TEAM5-------------.FNL-.000100--,26,2026-09-20,决赛,JPN,日本,KOR,韩国,主队,57,67,负,22,73,0.3013698630136986,14,44,0.3181818181818182,8,29,0.27586206896551724,0.8275862068965517,5,14,0.35714285714285715,21,33,54,15,13,5,3,19,71.16,80.10118043844857,5,3,10.0,50.0,52,61.16,85.02289077828647,0.08771929824561403,
M.TEAM5-------------.FNL-.000100--,26,2026-09-20,决赛,KOR,韩国,JPN,日本,客队,67,57,胜,24,62,0.3870967741935484,14,36,0.3888888888888889,10,26,0.38461538461538464,1.1538461538461537,9,15,0.6,9,34,43,19,9,5,6,17,68.6,97.66763848396502,12,7,13.0,92.3076923076923,55,55.599999999999994,98.92086330935253,0.1791044776119403,
M.TEAM5-------------.FNL-.000200--,25,2026-09-20,三四名决赛,CHN,中国,IRI,伊朗,主队,70,79,负,20,53,0.37735849056603776,13,32,0.40625,7,21,0.3333333333333333,1.0,23,32,0.71875,11,29,40,13,16,5,2,17,72.08,97.11431742508324,19,7,17.0,111.76470588235294,51,55.08,92.5925925925926,0.2714285714285714,
M.TEAM5-------------.FNL-.000200--,25,2026-09-20,三四名决赛,IRI,伊朗,CHN,中国,客队,79,70,胜,28,76,0.3684210526315789,13,43,0.3023255813953488,15,33,0.45454545454545453,1.3636363636363635,8,11,0.7272727272727273,15,26,41,21,11,12,3,22,76.84,102.81103591879229,21,17,14.0,150.0,58,62.84,92.29789942711648,0.26582278481012656,
M.TEAM5-------------.SFNL.000100--,23,2026-09-18,半决赛,JPN,日本,CHN,中国,主队,97,77,胜,40,82,0.4878048780487805,28,52,0.5384615384615384,12,30,0.4,1.2,5,9,0.5555555555555556,18,29,47,27,3,6,3,15,70.96,136.6967305524239,24,13,15.0,160.0,73,55.959999999999994,130.4503216583274,0.24742268041237114,顶层比分字段为97-78，球队分项/逐事件为97-77
M.TEAM5-------------.SFNL.000100--,23,2026-09-18,半决赛,CHN,中国,JPN,日本,客队,77,97,负,28,74,0.3783783783783784,21,49,0.42857142857142855,7,25,0.28,0.84,14,15,0.9333333333333333,14,27,41,15,7,2,3,11,73.6,104.61956521739131,6,2,13.0,46.15384615384615,71,60.599999999999994,117.16171617161717,0.07792207792207792,顶层比分字段为97-78，球队分项/逐事件为97-77
M.TEAM5-------------.SFNL.000200--,24,2026-09-18,半决赛,KOR,韩国,IRI,伊朗,主队,77,51,胜,26,59,0.4406779661016949,12,26,0.46153846153846156,14,33,0.42424242424242425,1.2727272727272727,11,15,0.7333333333333333,8,28,36,22,14,5,2,24,71.6,107.54189944134079,13,8,12.0,108.33333333333333,64,59.599999999999994,107.38255033557049,0.16883116883116883,
M.TEAM5-------------.SFNL.000200--,24,2026-09-18,半决赛,IRI,伊朗,KOR,韩国,客队,51,77,负,14,55,0.2545454545454545,12,32,0.375,2,23,0.08695652173913043,0.2608695652173913,21,30,0.7,13,25,39,13,14,9,2,22,69.2,73.69942196531791,6,6,12.0,50.0,45,57.2,78.67132867132867,0.11764705882352941,
