team_org,team,games,wins,losses,points,points_per_game,opp_points,margin_per_game,fgm,fga,fg_pct,three_m,three_a,three_pct,three_pts_per_att,poss_est,overall_ortg_est,fastbreak_points,fastbreak_points_official,fastbreak_poss_est,fastbreak_ortg_est,halfcourt_points_est,halfcourt_poss_est,halfcourt_ortg_est,fastbreak_point_share,orb,assists,turnovers
CHN,中国,6,4,2,543,90.5,435,18.0,199,408,0.4877450980392157,50,147,0.3401360544217687,1.0204081632653061,457.76,118.62111149947572,113,69,99.0,114.14141414141415,430,358.76,119.85728620804996,0.20810313075506445,83,109,76
JPN,日本,6,4,2,506,84.33333333333333,455,8.5,185,427,0.4332552693208431,66,183,0.36065573770491804,1.0819672131147542,446.0,113.45291479820628,83,51,78.0,106.41025641025641,423,368.0,114.94565217391305,0.16403162055335968,92,131,67
KOR,韩国,6,6,0,542,90.33333333333333,385,26.166666666666668,192,403,0.47642679900744417,72,188,0.3829787234042553,1.148936170212766,446.72,121.32879656160458,100,68,89.0,112.35955056179775,442,357.72,123.56032651235603,0.18450184501845018,68,154,62
IRI,伊朗,6,4,2,415,69.16666666666667,417,-0.3333333333333333,139,384,0.3619791666666667,49,170,0.28823529411764703,0.8647058823529412,440.32,94.24963662790698,76,60,79.0,96.20253164556962,339,361.32,93.82265028229824,0.18313253012048192,79,108,79
